,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
220,314.0,L1_SingleJet200,1.0,2185.0,529.94,0.0,76.03
221,316.0,L1_SingleJet35er2p5,0.0,0.0,0.0,0.0,0.0
222,317.0,L1_SingleJet60er2p5,0.0,0.0,0.0,0.0,0.0
223,318.0,L1_SingleJet90er2p5,0.0,0.0,0.0,0.0,0.0
224,319.0,L1_SingleJet120er2p5,0.0,0.0,0.0,0.0,0.0
225,320.0,L1_SingleJet140er2p5,0.0,0.0,0.0,0.0,0.0
226,321.0,L1_SingleJet160er2p5,0.0,0.0,0.0,0.0,0.0
227,322.0,L1_SingleJet180er2p5,1.0,2442.06,560.25,0.0,123.21
229,325.0,L1_SingleJet60_FWD3p0,770.0,0.0,0.0,0.0,0.0
230,326.0,L1_SingleJet90_FWD3p0,250.0,0.0,0.0,0.0,0.0
231,327.0,L1_SingleJet120_FWD3p0,40.0,0.0,0.0,0.0,0.0
233,330.0,L1_SingleJet10erHE,0.0,0.0,0.0,0.0,0.0
234,331.0,L1_SingleJet12erHE,0.0,0.0,0.0,0.0,0.0
239,341.0,L1_DoubleJet100er2p5,170.0,0.0,0.0,0.0,0.0
240,342.0,L1_DoubleJet120er2p5,70.0,0.0,0.0,0.0,0.0
241,343.0,L1_DoubleJet150er2p5,1.0,385.59,222.62,0.0,21.69
243,346.0,L1_DoubleJet112er2p3_dEta_Max1p6,1.0,2313.53,545.3,514.12,771.28
251,356.0,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,0.0,0.0,0.0,0.0,0.0
271,399.0,L1_HTT160er,4100.0,0.0,0.0,0.0,0.0
272,400.0,L1_HTT200er,1600.0,0.0,0.0,0.0,0.0
273,401.0,L1_HTT255er,500.0,0.0,0.0,0.0,0.0
274,402.0,L1_HTT280er,0.0,0.0,0.0,0.0,0.0
275,403.0,L1_HTT320er,0.0,0.0,0.0,0.0,0.0
276,404.0,L1_HTT360er,1.0,3855.88,703.98,128.53,497.4
277,405.0,L1_HTT400er,1.0,2442.06,560.25,0.0,122.29
278,406.0,L1_HTT450er,1.0,1670.88,463.42,0.0,54.57
280,411.0,L1_ETT1600,0.0,0.0,0.0,0.0,0.0
281,412.0,L1_ETT2000,1.0,1028.24,363.54,0.0,20.18
283,417.0,L1_ETM150,1.0,1285.29,406.45,0.0,46.2
285,422.0,L1_ETMHF110,1.0,3084.71,629.66,0.0,271.05
286,423.0,L1_ETMHF120,1.0,1799.41,480.91,0.0,70.62
287,424.0,L1_ETMHF130,1.0,1670.88,463.42,0.0,61.44
288,425.0,L1_ETMHF140,1.0,1413.82,426.28,0.0,47.98
289,426.0,L1_ETMHF150,1.0,1413.82,426.28,0.0,47.98
291,429.0,L1_ETMHF100_HTT60er,1.0,4241.47,738.35,0.0,432.78
292,430.0,L1_ETMHF110_HTT60er,1.0,2827.65,602.86,0.0,190.72
293,431.0,L1_ETMHF120_HTT60er,1.0,1670.88,463.42,0.0,54.55
294,432.0,L1_ETMHF130_HTT60er,1.0,1542.36,445.24,0.0,45.37
